dataset,method,model,accuracy_mean_mean,accuracy_mean_std,roc_auc_mean_mean,roc_auc_mean_std,f1_mean_mean,f1_mean_std,mcc_mean_mean,mcc_mean_std,n_features_first
electricity,AutoGluon,LGBM,0.8816427961835182,0.0006862475286195359,0.9543284663268028,0.00019273655196665556,0.8815081803952737,0.0006983074483230443,0.7573330372279874,0.0014429391204478672,8.0
electricity,AutoGluon,LR,0.7552376804662012,0.00014180145003261593,0.8195327909032653,8.151119892277386e-05,0.7494834803553566,0.00016156804478769068,0.49377010228026347,0.0002846619012049059,8.0
electricity,AutoGluon,MLP,0.8233139101272497,0.001288535640724993,0.9019419973803062,0.0006644041991646482,0.8225690259445434,0.001209458681765786,0.6366641715067045,0.0024539922460508814,8.0
electricity,Baseline,LGBM,0.8816427961835182,0.0006862475286195359,0.9543284663268028,0.00019273655196665556,0.8815081803952737,0.0006983074483230443,0.7573330372279874,0.0014429391204478672,8.0
electricity,Baseline,LR,0.7552376804662012,0.00014180145003261593,0.8195327909032653,8.151119892277386e-05,0.7494834803553566,0.00016156804478769068,0.49377010228026347,0.0002846619012049059,8.0
electricity,Baseline,MLP,0.8233139101272497,0.001288535640724993,0.9019419973803062,0.0006644041991646482,0.8225690259445434,0.001209458681765786,0.6366641715067045,0.0024539922460508814,8.0
electricity,Featuretools,LGBM,0.8891831417633478,0.0005093040560053872,0.9585436439405234,0.0001268109609726183,0.8890757242497725,0.0004994670629107593,0.7728479032106471,0.0010103032884482485,50.0
electricity,Featuretools,LR,0.7621674752776245,0.0001217384272287426,0.830457306522034,8.24519138639991e-05,0.7579350971979685,0.00011917904906490426,0.5080425482954469,0.000268082879771346,50.0
electricity,Featuretools,MLP,0.8215631071476831,0.0010154357209432266,0.9017230302179002,0.0004456853586352443,0.8210108862206366,0.0008404507838881012,0.6335809933145123,0.0015077171213002814,50.0
kc1,AutoGluon,LGBM,0.8550611085469412,0.004253405385339464,0.784356874307304,0.008617672784429873,0.8399838340480538,0.004854059558683195,0.3558857830685982,0.02002625601747004,21.0
kc1,AutoGluon,LR,0.8558551256505801,0.0025069703662390468,0.8023787648424133,0.0018855411627413492,0.8240864906474314,0.0029791483793759274,0.28901185106771893,0.01706846421655636,21.0
kc1,AutoGluon,MLP,0.8629667571005616,0.0017125490714987358,0.7938652180968772,0.006925255449820477,0.8407692752351418,0.002746468648476991,0.3619603709081837,0.011138117293459256,21.0
kc1,Baseline,LGBM,0.8550611085469412,0.004253405385339464,0.784356874307304,0.008617672784429873,0.8399838340480538,0.004854059558683195,0.3558857830685982,0.02002625601747004,21.0
kc1,Baseline,LR,0.8558551256505801,0.0025069703662390468,0.8023787648424133,0.0018855411627413492,0.8240864906474314,0.0029791483793759274,0.28901185106771893,0.01706846421655636,21.0
kc1,Baseline,MLP,0.8629667571005616,0.0017125490714987358,0.7938652180968772,0.006925255449820477,0.8407692752351418,0.002746468648476991,0.3619603709081837,0.011138117293459256,21.0
kc1,Featuretools,LGBM,0.8544280712814221,0.0026427946588500934,0.7860312983264075,0.0036753027400252157,0.8397010784211099,0.003111482906622866,0.3549412888844883,0.014056777802736252,50.0
kc1,Featuretools,LR,0.8564877876717212,0.001663866068779458,0.8019686271355141,0.0019869935181267007,0.824574368036942,0.0014952218328807044,0.2925494628631256,0.009920025944528045,50.0
kc1,Featuretools,MLP,0.8601216542273157,0.00251824572940647,0.791037883501532,0.006074685159980768,0.8364450118292307,0.0025646030910117,0.3410370635989663,0.00999979821660687,50.0
phoneme,AutoGluon,LGBM,0.8952013453478146,0.0030445292515081874,0.9523565935562743,0.0010846901933709932,0.8950210082780113,0.00298378659605147,0.7468163710593493,0.007027242461784576,5.0
phoneme,AutoGluon,LR,0.7514803965235665,0.001447867577799209,0.811893506646966,0.0003807443333593125,0.7416225257326046,0.0016485925926807048,0.3649080166471352,0.004146703279486902,5.0
phoneme,AutoGluon,MLP,0.8589939584975047,0.0024498668676731926,0.9256352353753708,0.001874426376885627,0.858407438506633,0.0026297739924116873,0.65765325958574,0.006736633480557979,5.0
phoneme,Baseline,LGBM,0.8952013453478146,0.0030445292515081874,0.9523565935562743,0.0010846901933709932,0.8950210082780113,0.00298378659605147,0.7468163710593493,0.007027242461784576,5.0
phoneme,Baseline,LR,0.7514803965235665,0.001447867577799209,0.811893506646966,0.0003807443333593125,0.7416225257326046,0.0016485925926807048,0.3649080166471352,0.004146703279486902,5.0
phoneme,Baseline,MLP,0.8589939584975047,0.0024498668676731926,0.9256352353753708,0.001874426376885627,0.858407438506633,0.0026297739924116873,0.65765325958574,0.006736633480557979,5.0
phoneme,Featuretools,LGBM,0.9041461381208529,0.0008045313668246514,0.9586109891928735,0.0019987347744689138,0.9039012353377412,0.0008278423568495846,0.7680877896199031,0.0020923382698768565,50.0
phoneme,Featuretools,LR,0.8118681262205776,0.0023861026319734477,0.8798355282883877,0.0003676909346074244,0.8092983607072378,0.0024973837019245998,0.5358251862368579,0.006216703196611829,50.0
phoneme,Featuretools,MLP,0.877314158129761,0.0020011600317777285,0.9325572156842811,0.0017907843124671907,0.8769977319683532,0.0020720808447619796,0.7032480601510546,0.005303132669050887,50.0
