method,model,trial,n_features,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,mcc_mean,mcc_std,dataset,error
Baseline,LR,0,8.0,0.7550759144411348,0.004950082694062884,0.819614606371942,0.005403457086261879,0.7493005456860965,0.00514595479634711,0.49344277465863956,0.010589914234842419,electricity,
Baseline,MLP,0,8.0,0.8236889579413125,0.005374308919010559,0.9021259768861578,0.0035111670875336955,0.8226820955309078,0.005529871597204127,0.6370807408097259,0.011262545700602786,electricity,
Baseline,LGBM,0,8.0,0.8822386140148998,0.0017538602431312372,0.9541938459204026,0.0018901308542377314,0.8821226934734028,0.001730476270072743,0.7586055084721965,0.0035187703914897764,electricity,
Featuretools,LR,0,50.0,0.7621601071856479,0.004936379404524484,0.8305449052121958,0.005190675050747114,0.7579342277259313,0.00491537453329597,0.508044519553634,0.010500565006531815,electricity,
Featuretools,MLP,0,50.0,0.8215925097066311,0.003677493943408743,0.9020819256616697,0.003033359804402326,0.8207120050226656,0.003882658193734904,0.6331274288020696,0.007708017887017253,electricity,
Featuretools,LGBM,0,50.0,0.8888151511478796,0.003926485559678902,0.9584198801430175,0.0020761060492217234,0.8887345302759485,0.003932796536873589,0.7721732189025422,0.008055840757380427,electricity,
Auto-sklearn,,0,,,,,,,,,,electricity,Not installed
AutoGluon,LR,0,8.0,0.7550759144411348,0.004950082694062884,0.819614606371942,0.005403457086261879,0.7493005456860965,0.00514595479634711,0.49344277465863956,0.010589914234842419,electricity,
AutoGluon,MLP,0,8.0,0.8236889579413125,0.005374308919010559,0.9021259768861578,0.0035111670875336955,0.8226820955309078,0.005529871597204127,0.6370807408097259,0.011262545700602786,electricity,
AutoGluon,LGBM,0,8.0,0.8822386140148998,0.0017538602431312372,0.9541938459204026,0.0018901308542377314,0.8821226934734028,0.001730476270072743,0.7586055084721965,0.0035187703914897764,electricity,
LLM-FE,,0,,,,,,,,,,electricity,No features selected
Baseline,LR,1,8.0,0.7553405058141162,0.0055802570214721825,0.8194515874202214,0.0030900794522421907,0.7496066559410193,0.005853718105589878,0.49395974433368545,0.01188421032182432,electricity,
Baseline,MLP,1,8.0,0.8243733138244895,0.004429246460208581,0.9024950243682002,0.002466550380227855,0.823717979332298,0.004566692035594349,0.6388832167576819,0.009318780034786136,electricity,
Baseline,LGBM,1,8.0,0.8817973101942937,0.002517955674822451,0.954242298883098,0.0016036531087740681,0.8816530450235855,0.0024833631853329687,0.7576282982536569,0.005059505806077047,electricity,
Featuretools,LR,1,50.0,0.7620495882411975,0.005018823477657453,0.8303812090313208,0.00281310741811204,0.7578163552636619,0.00519999515440079,0.5077734852222586,0.010626122689484157,electricity,
Featuretools,MLP,1,50.0,0.8225635222755798,0.003054645128346882,0.9018630053884842,0.003897863602518331,0.8219599267459994,0.002990926260967806,0.6352634267455183,0.006186034303626509,electricity,
Featuretools,LGBM,1,50.0,0.8897644125443482,0.002807084078371528,0.9586732968628999,0.0011235269486200993,0.8896490088961706,0.0028175125126091924,0.7740094501620327,0.005774988692357118,electricity,
Auto-sklearn,,1,,,,,,,,,,electricity,Not installed
AutoGluon,LR,1,8.0,0.7553405058141162,0.0055802570214721825,0.8194515874202214,0.0030900794522421907,0.7496066559410193,0.005853718105589878,0.49395974433368545,0.01188421032182432,electricity,
AutoGluon,MLP,1,8.0,0.8243733138244895,0.004429246460208581,0.9024950243682002,0.002466550380227855,0.823717979332298,0.004566692035594349,0.6388832167576819,0.009318780034786136,electricity,
AutoGluon,LGBM,1,8.0,0.8817973101942937,0.002517955674822451,0.954242298883098,0.0016036531087740681,0.8816530450235855,0.0024833631853329687,0.7576282982536569,0.005059505806077047,electricity,
LLM-FE,,1,,,,,,,,,,electricity,No features selected
Baseline,LR,2,8.0,0.7552966211433525,0.00235691517113972,0.8195321789176322,0.0035129228868293855,0.7495432394389541,0.002137393402645164,0.4939077878484655,0.0052110044688186835,electricity,
Baseline,MLP,2,8.0,0.821879458615947,0.003277987166275925,0.9012049908865609,0.0029201244266620534,0.8213070029704245,0.003170438312111,0.6340285569527057,0.006580059755402116,electricity,
Baseline,LGBM,2,8.0,0.8808924643413611,0.0014118784055141764,0.9545492541769078,0.0005533457560357049,0.8807488026888329,0.0014413969123990298,0.7557653049581087,0.002972760279669584,electricity,
Featuretools,LR,2,50.0,0.7622927304060279,0.00430982130554007,0.8304458053225854,0.004002995547740489,0.7580547086043122,0.004307919728377193,0.5083096401104481,0.009153775170848531,electricity,
Featuretools,MLP,2,50.0,0.8205332894608386,0.00220621961135678,0.901224159603547,0.0014969482024526598,0.8203607268932446,0.002042109227863734,0.6323521243959493,0.004138981780546484,electricity,
Featuretools,LGBM,2,50.0,0.8889698615978154,0.0027305532998358898,0.958537754815653,0.0015305788213145584,0.8888436335771985,0.0027577425939797904,0.7723610405673662,0.0056663659072047215,electricity,
Auto-sklearn,,2,,,,,,,,,,electricity,Not installed
AutoGluon,LR,2,8.0,0.7552966211433525,0.00235691517113972,0.8195321789176322,0.0035129228868293855,0.7495432394389541,0.002137393402645164,0.4939077878484655,0.0052110044688186835,electricity,
AutoGluon,MLP,2,8.0,0.821879458615947,0.003277987166275925,0.9012049908865609,0.0029201244266620534,0.8213070029704245,0.003170438312111,0.6340285569527057,0.006580059755402116,electricity,
AutoGluon,LGBM,2,8.0,0.8808924643413611,0.0014118784055141764,0.9545492541769078,0.0005533457560357049,0.8807488026888329,0.0014413969123990298,0.7557653049581087,0.002972760279669584,electricity,
LLM-FE,,2,,,,,,,,,,electricity,Selected features not in dataset
Baseline,LR,0,5.0,0.7524086065714188,0.009989847483819918,0.8115297815565181,0.0077350475862098,0.7426156909394761,0.011204018488578306,0.36739902678935177,0.02848071315011426,phoneme,
Baseline,MLP,0,5.0,0.8599196560112379,0.006586804526564413,0.9259241251244011,0.002670275653752352,0.8592553417922939,0.005789093239383366,0.6598401441439276,0.012805018130456721,phoneme,
Baseline,LGBM,0,5.0,0.8963752698119025,0.006186541295611311,0.9526690503942682,0.0025476463885209326,0.8962004044520917,0.00602831744402932,0.7495236419998846,0.014312693850332618,phoneme,
Featuretools,LR,0,50.0,0.8092164319731386,0.007877020239394914,0.8795044039420347,0.0023372890953706105,0.8064753941049082,0.007605064581820231,0.528746841626264,0.01856146527398631,phoneme,
Featuretools,MLP,0,50.0,0.8750943913386097,0.006586657951313748,0.9324785608628898,0.0036185256370702616,0.8747354432921368,0.006491997007810233,0.6975330828090884,0.015777907808057875,phoneme,
Featuretools,LGBM,0,50.0,0.904516051666838,0.007091884789230906,0.9598204379394456,0.002759761866276406,0.9042251923810187,0.007018328935809652,0.7686593331217046,0.016893501986820592,phoneme,
Auto-sklearn,,0,,,,,,,,,,phoneme,Not installed
AutoGluon,LR,0,5.0,0.7524086065714188,0.009989847483819918,0.8115297815565181,0.0077350475862098,0.7426156909394761,0.011204018488578306,0.36739902678935177,0.02848071315011426,phoneme,
AutoGluon,MLP,0,5.0,0.8599196560112379,0.006586804526564413,0.9259241251244011,0.002670275653752352,0.8592553417922939,0.005789093239383366,0.6598401441439276,0.012805018130456721,phoneme,
AutoGluon,LGBM,0,5.0,0.8963752698119025,0.006186541295611311,0.9526690503942682,0.0025476463885209326,0.8962004044520917,0.00602831744402932,0.7495236419998846,0.014312693850332618,phoneme,
LLM-FE,,0,,,,,,,,,,phoneme,No features selected
Baseline,LR,1,5.0,0.7522205091307774,0.00985056446089136,0.8118614900409871,0.01397387831016422,0.742532383561799,0.011169045645326248,0.36720388128867165,0.02788327689525504,phoneme,
Baseline,MLP,1,5.0,0.8562161236166788,0.010578444820385838,0.9236331357220973,0.008492928367168907,0.8554583123619535,0.01085800604320967,0.6500948824579222,0.026589217638022113,phoneme,
Baseline,LGBM,1,5.0,0.8917446123274061,0.010327198965542269,0.9511499695647009,0.009539098804767693,0.8916277854542869,0.010132127551206412,0.7388381488353581,0.02364042888956871,phoneme,
Featuretools,LR,1,50.0,0.8125459965052935,0.007911992805880346,0.8802312298189798,0.008782933066674199,0.8101998733952908,0.007836357698244633,0.5383298650356406,0.018784859284704566,phoneme,
Featuretools,MLP,1,50.0,0.8778680576969199,0.006801096351516126,0.9308070547552318,0.010837776850960075,0.8774542975591475,0.007315034953156557,0.7042009513340722,0.018716057038796634,phoneme,
Featuretools,LGBM,1,50.0,0.9046991811422893,0.009730562568664761,0.956303952863531,0.007869509312067176,0.9045181097183747,0.009812784809336896,0.7698349671931991,0.023539071291174253,phoneme,
Auto-sklearn,,1,,,,,,,,,,phoneme,Not installed
AutoGluon,LR,1,5.0,0.7522205091307774,0.00985056446089136,0.8118614900409871,0.01397387831016422,0.742532383561799,0.011169045645326248,0.36720388128867165,0.02788327689525504,phoneme,
AutoGluon,MLP,1,5.0,0.8562161236166788,0.010578444820385838,0.9236331357220973,0.008492928367168907,0.8554583123619535,0.01085800604320967,0.6500948824579222,0.026589217638022113,phoneme,
AutoGluon,LGBM,1,5.0,0.8917446123274061,0.010327198965542269,0.9511499695647009,0.009539098804767693,0.8916277854542869,0.010132127551206412,0.7388381488353581,0.02364042888956871,phoneme,
LLM-FE,,1,,,,,,,,,,phoneme,No features selected
Baseline,LR,2,5.0,0.7498120738685031,0.011599050121399225,0.8122892483433928,0.013951015057176294,0.7397195026965389,0.013448027450743687,0.36012114186338207,0.03433772869988036,phoneme,
Baseline,MLP,2,5.0,0.8608460958645973,0.010098209583542704,0.9273484452796138,0.010370785063456444,0.8605086613656517,0.009953519751530046,0.6630247521553702,0.023893230065505262,phoneme,
Baseline,LGBM,2,5.0,0.8974841539041354,0.006162177102161092,0.9532507607098539,0.007010703170165615,0.8972348349276551,0.005734640370895851,0.752087322342805,0.01289260132193121,phoneme,
Featuretools,LR,2,50.0,0.8138419501833007,0.0038812458661236894,0.8797709511041486,0.006908429615035978,0.8112198146215143,0.003525442162908047,0.5403988520486693,0.00831924989438821,phoneme,
Featuretools,MLP,2,50.0,0.8789800253537534,0.00817859756443594,0.9343860314347214,0.007945213901941275,0.8788034550537749,0.008796486687824793,0.7080101463100031,0.02293862799938855,phoneme,
Featuretools,LGBM,2,50.0,0.9032231815534313,0.009632453622191091,0.9597085767756438,0.006077263929015643,0.9029604039138306,0.009841386102389004,0.7657690685448053,0.02417984134908517,phoneme,
Auto-sklearn,,2,,,,,,,,,,phoneme,Not installed
AutoGluon,LR,2,5.0,0.7498120738685031,0.011599050121399225,0.8122892483433928,0.013951015057176294,0.7397195026965389,0.013448027450743687,0.36012114186338207,0.03433772869988036,phoneme,
AutoGluon,MLP,2,5.0,0.8608460958645973,0.010098209583542704,0.9273484452796138,0.010370785063456444,0.8605086613656517,0.009953519751530046,0.6630247521553702,0.023893230065505262,phoneme,
AutoGluon,LGBM,2,5.0,0.8974841539041354,0.006162177102161092,0.9532507607098539,0.007010703170165615,0.8972348349276551,0.005734640370895851,0.752087322342805,0.01289260132193121,phoneme,
LLM-FE,,2,,,,,,,,,,phoneme,No features selected
Baseline,LR,0,21.0,0.854906507863246,0.00352324006402322,0.8011203084203746,0.016224893234938264,0.8237820979322589,0.006968637693310474,0.2851629157786305,0.03443024237506854,kc1,
Baseline,MLP,0,21.0,0.8615370760207585,0.011589715713904842,0.7911246310420138,0.027269272847472756,0.8391596721503944,0.007811467341328372,0.35736124266443614,0.04252475987147176,kc1,
Baseline,LGBM,0,21.0,0.8501570397721515,0.012242433280927877,0.775525766918695,0.021773397180454606,0.8343903007179355,0.009418363832508532,0.33285544224433045,0.03714949124004372,kc1,
Featuretools,LR,0,50.0,0.856329434544247,0.004412002790846421,0.8000020699723278,0.016627871542033178,0.82482696499731,0.0070550168684463755,0.2923214232984463,0.036024974493980524,kc1,
Featuretools,MLP,0,50.0,0.8572660445114881,0.014315052258750377,0.790635811643743,0.031850297558035416,0.833685958132865,0.012395430756565209,0.3308464678165778,0.057554213581087386,kc1,
Featuretools,LGBM,0,50.0,0.8515799664531526,0.012434908323525623,0.7819315846083859,0.014960902743512066,0.8368262186924461,0.011079225366156513,0.34263727220059875,0.044928724164098446,kc1,
Auto-sklearn,,0,,,,,,,,,,kc1,Not installed
AutoGluon,LR,0,21.0,0.854906507863246,0.00352324006402322,0.8011203084203746,0.016224893234938264,0.8237820979322589,0.006968637693310474,0.2851629157786305,0.03443024237506854,kc1,
AutoGluon,MLP,0,21.0,0.8615370760207585,0.011589715713904842,0.7911246310420138,0.027269272847472756,0.8391596721503944,0.007811467341328372,0.35736124266443614,0.04252475987147176,kc1,
AutoGluon,LGBM,0,21.0,0.8501570397721515,0.012242433280927877,0.775525766918695,0.021773397180454606,0.8343903007179355,0.009418363832508532,0.33285544224433045,0.03714949124004372,kc1,
LLM-FE,,0,,,,,,,,,,kc1,No features selected
Baseline,LR,1,21.0,0.8539608920309352,0.010949826051917171,0.8045466551514139,0.03497279376667314,0.8212712244740746,0.015058322096297398,0.2741964936364993,0.07465089235764476,kc1,
Baseline,MLP,1,21.0,0.8624984521169411,0.008139183214602252,0.7887296642551105,0.03906595460539792,0.8392076504699274,0.013145657963409585,0.3538583163391504,0.056430773095174504,kc1,
Baseline,LGBM,1,21.0,0.8572806790422263,0.010176284074654198,0.7848009118002508,0.026337214973453357,0.8424704670920942,0.010089007047815214,0.3655972125858674,0.04392685090470517,kc1,
Featuretools,LR,1,50.0,0.8549087593295134,0.00985475516902691,0.8039754451320874,0.03547366561302029,0.8229689365636729,0.013005248251671674,0.28274542269364933,0.0644473320427758,kc1,
Featuretools,MLP,1,50.0,0.862024518467652,0.01036906428083018,0.7851742221206861,0.0479886212850363,0.8387561534260382,0.012000355465122561,0.35083446554822095,0.055154251752742106,kc1,
Featuretools,LGBM,1,50.0,0.8549031306638449,0.00540289211276824,0.7890309503230852,0.023756620927060813,0.8392723057150902,0.003489988512865989,0.3519253431320113,0.01684391475190097,kc1,
Auto-sklearn,,1,,,,,,,,,,kc1,Not installed
AutoGluon,LR,1,21.0,0.8539608920309352,0.010949826051917171,0.8045466551514139,0.03497279376667314,0.8212712244740746,0.015058322096297398,0.2741964936364993,0.07465089235764476,kc1,
AutoGluon,MLP,1,21.0,0.8624984521169411,0.008139183214602252,0.7887296642551105,0.03906595460539792,0.8392076504699274,0.013145657963409585,0.3538583163391504,0.056430773095174504,kc1,
AutoGluon,LGBM,1,21.0,0.8572806790422263,0.010176284074654198,0.7848009118002508,0.026337214973453357,0.8424704670920942,0.010089007047815214,0.3655972125858674,0.04392685090470517,kc1,
LLM-FE,,1,,,,,,,,,,kc1,No features selected
Baseline,LR,2,21.0,0.8586979770575589,0.01027049531410037,0.8014693309554513,0.01760093322767986,0.8272061495359606,0.011289566857045453,0.307676143788027,0.05748248180930092,kc1,
Baseline,MLP,2,21.0,0.8648647431639855,0.007188705266638667,0.8017413589935071,0.0133334942112396,0.8439405030851038,0.008337124610738517,0.37466155372096466,0.03628552824446725,kc1,
Baseline,LGBM,2,21.0,0.8577456068264457,0.011796136008615383,0.792743944202966,0.01598674789383914,0.8430907343341316,0.011137056064136772,0.3692046943755966,0.049029507900412175,kc1,
Featuretools,LR,2,50.0,0.8582251691414033,0.010228874866951284,0.8019283663021269,0.015892883538332486,0.825927202549843,0.01135226968547313,0.3025815425972812,0.058654036930390674,kc1,
Featuretools,MLP,2,50.0,0.8610743997028065,0.011730335012441756,0.7973036167401667,0.021886422013317447,0.8368929239287889,0.017827659232705878,0.3414302574321,0.08355408946373158,kc1,
Featuretools,LGBM,2,50.0,0.8568011167272687,0.011511616243071475,0.7871313600477514,0.018201141513138473,0.8430047108557932,0.008878546694309668,0.37026125132085486,0.0323302423976562,kc1,
Auto-sklearn,,2,,,,,,,,,,kc1,Not installed
AutoGluon,LR,2,21.0,0.8586979770575589,0.01027049531410037,0.8014693309554513,0.01760093322767986,0.8272061495359606,0.011289566857045453,0.307676143788027,0.05748248180930092,kc1,
AutoGluon,MLP,2,21.0,0.8648647431639855,0.007188705266638667,0.8017413589935071,0.0133334942112396,0.8439405030851038,0.008337124610738517,0.37466155372096466,0.03628552824446725,kc1,
AutoGluon,LGBM,2,21.0,0.8577456068264457,0.011796136008615383,0.792743944202966,0.01598674789383914,0.8430907343341316,0.011137056064136772,0.3692046943755966,0.049029507900412175,kc1,
LLM-FE,,2,,,,,,,,,,kc1,No features selected
